<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
US1.BA;D;20131125;000000;133.0900000
US1.BA;D;20131126;000000;134.3500000
US1.BA;D;20131127;000000;134.7200000
US1.BA;D;20131129;000000;134.1900000
US1.BA;D;20131202;000000;134.1500000
US1.BA;D;20131203;000000;131.9900000
US1.BA;D;20131204;000000;131.5000000
US1.BA;D;20131205;000000;132.6900000
US1.BA;D;20131206;000000;135.2200000
US1.BA;D;20131209;000000;134.7100000
US1.BA;D;20131210;000000;133.7100000
US1.BA;D;20131211;000000;132.5600000
US1.BA;D;20131212;000000;132.9300000
US1.BA;D;20131213;000000;133.8300000
US1.BA;D;20131216;000000;134.7000000
US1.BA;D;20131217;000000;135.8800000
US1.BA;D;20131218;000000;135.5400000
US1.BA;D;20131219;000000;135.1600000
US1.BA;D;20131220;000000;136.8500000
US1.BA;D;20131223;000000;136.4200000
US1.BA;D;20131224;000000;136.8100000
US1.BA;D;20131226;000000;138.2200000
US1.BA;D;20131227;000000;136.8800000
US1.BA;D;20131230;000000;135.9200000
US1.BA;D;20131231;000000;136.5300000
US1.BA;D;20140102;000000;136.6800000
US1.BA;D;20140103;000000;137.6000000
US1.BA;D;20140106;000000;138.5300000
US1.BA;D;20140107;000000;140.5600000
US1.BA;D;20140108;000000;140.6500000
US1.BA;D;20140109;000000;142.1000000
US1.BA;D;20140110;000000;141.8600000
US1.BA;D;20140113;000000;140.6900000
US1.BA;D;20140114;000000;139.9900000
US1.BA;D;20140115;000000;140.4800000
US1.BA;D;20140116;000000;140.1500000
US1.BA;D;20140117;000000;140.4500000
US1.BA;D;20140121;000000;141.6500000
US1.BA;D;20140122;000000;144.4500000
US1.BA;D;20140123;000000;141.7000000
US1.BA;D;20140124;000000;136.8100000
US1.BA;D;20140127;000000;137.3900000
US1.BA;D;20140128;000000;137.0600000
US1.BA;D;20140129;000000;129.9600000
US1.BA;D;20140130;000000;126.5000000
US1.BA;D;20140131;000000;125.2800000
US1.BA;D;20140203;000000;123.0600000
US1.BA;D;20140204;000000;122.0500000
US1.BA;D;20140205;000000;121.4000000
US1.BA;D;20140206;000000;122.6900000
US1.BA;D;20140207;000000;127.0000000
US1.BA;D;20140210;000000;127.1700000
US1.BA;D;20140211;000000;130.0800000
US1.BA;D;20140212;000000;128.0300000
US1.BA;D;20140213;000000;129.4600000
US1.BA;D;20140214;000000;130.1400000
US1.BA;D;20140218;000000;130.5100000
US1.BA;D;20140219;000000;128.3900000
US1.BA;D;20140220;000000;129.6100000
US1.BA;D;20140221;000000;128.2700000
US1.BA;D;20140224;000000;129.6000000
US1.BA;D;20140225;000000;126.7700000
US1.BA;D;20140226;000000;126.6500000
US1.BA;D;20140227;000000;128.2600000
US1.BA;D;20140228;000000;128.8800000
US1.BA;D;20140303;000000;128.0500000
US1.BA;D;20140304;000000;130.1800000
US1.BA;D;20140305;000000;128.6900000
US1.BA;D;20140306;000000;128.9200000
US1.BA;D;20140307;000000;128.5000000
US1.BA;D;20140310;000000;126.9800000
US1.BA;D;20140311;000000;125.6800000
US1.BA;D;20140312;000000;124.3900000
US1.BA;D;20140313;000000;121.9200000
US1.BA;D;20140314;000000;123.0800000
US1.BA;D;20140317;000000;125.3900000
US1.BA;D;20140318;000000;124.0700000
US1.BA;D;20140319;000000;122.2200000
US1.BA;D;20140320;000000;123.8000000
US1.BA;D;20140321;000000;122.6300000
US1.BA;D;20140324;000000;123.4400000
US1.BA;D;20140325;000000;124.0000000
US1.BA;D;20140326;000000;123.5600000
US1.BA;D;20140327;000000;123.1200000
US1.BA;D;20140328;000000;124.4300000
US1.BA;D;20140331;000000;125.4950000
US1.BA;D;20140401;000000;128.2300000
US1.BA;D;20140402;000000;128.3400000
US1.BA;D;20140403;000000;128.7500000
US1.BA;D;20140404;000000;127.3900000
US1.BA;D;20140407;000000;125.5950000
US1.BA;D;20140408;000000;124.1300000
US1.BA;D;20140409;000000;126.8900000
US1.BA;D;20140410;000000;123.7600000
US1.BA;D;20140411;000000;122.0900000
US1.BA;D;20140414;000000;123.2300000
US1.BA;D;20140415;000000;124.2700000
US1.BA;D;20140416;000000;126.0300000
US1.BA;D;20140417;000000;127.9300000
US1.BA;D;20140421;000000;127.8000000
US1.BA;D;20140422;000000;127.7200000
US1.BA;D;20140423;000000;130.6000000
US1.BA;D;20140424;000000;129.8500000
US1.BA;D;20140425;000000;128.6400000
US1.BA;D;20140428;000000;127.0000000
US1.BA;D;20140429;000000;128.3700000
US1.BA;D;20140430;000000;129.0500000
US1.BA;D;20140501;000000;128.3800000
US1.BA;D;20140502;000000;129.9300000
US1.BA;D;20140505;000000;131.9500000
US1.BA;D;20140506;000000;130.8300000
US1.BA;D;20140507;000000;130.3800000
US1.BA;D;20140508;000000;130.6200000
US1.BA;D;20140509;000000;131.0700000
US1.BA;D;20140512;000000;132.6000000
US1.BA;D;20140513;000000;133.5000000
US1.BA;D;20140514;000000;133.0100000
US1.BA;D;20140515;000000;131.1500000
US1.BA;D;20140516;000000;130.8100000
US1.BA;D;20140519;000000;131.4300000
US1.BA;D;20140520;000000;129.5800000
US1.BA;D;20140521;000000;130.9000000
US1.BA;D;20140522;000000;131.8300000
US1.BA;D;20140523;000000;132.4000000
US1.BA;D;20140527;000000;134.1800000
US1.BA;D;20140528;000000;134.3800000
US1.BA;D;20140529;000000;135.1400000
US1.BA;D;20140530;000000;135.2500000
US1.BA;D;20140602;000000;135.9000000
US1.BA;D;20140603;000000;135.8600000
US1.BA;D;20140604;000000;135.4000000
US1.BA;D;20140605;000000;136.7900000
US1.BA;D;20140606;000000;138.2200000
US1.BA;D;20140609;000000;137.9500000
US1.BA;D;20140610;000000;137.2500000
US1.BA;D;20140611;000000;134.0900000
US1.BA;D;20140612;000000;132.1800000
US1.BA;D;20140613;000000;132.2100000
US1.BA;D;20140616;000000;132.5500000
US1.BA;D;20140617;000000;132.5300000
US1.BA;D;20140618;000000;132.5100000
US1.BA;D;20140619;000000;132.8300000
US1.BA;D;20140620;000000;132.0900000
US1.BA;D;20140623;000000;130.8500000
US1.BA;D;20140624;000000;129.1600000
US1.BA;D;20140625;000000;127.0500000
US1.BA;D;20140626;000000;128.0300000
US1.BA;D;20140627;000000;128.3900000
US1.BA;D;20140630;000000;127.0700000
US1.BA;D;20140701;000000;128.2300000
US1.BA;D;20140702;000000;127.6100000
US1.BA;D;20140703;000000;128.5400000
US1.BA;D;20140707;000000;129.0900000
US1.BA;D;20140708;000000;126.8200000
US1.BA;D;20140709;000000;126.7450000
US1.BA;D;20140710;000000;126.7400000
US1.BA;D;20140711;000000;128.0800000
US1.BA;D;20140714;000000;129.5400000
US1.BA;D;20140715;000000;129.1000000
US1.BA;D;20140716;000000;127.4200000
US1.BA;D;20140717;000000;125.8400000
US1.BA;D;20140718;000000;127.6100000
US1.BA;D;20140721;000000;128.2900000
US1.BA;D;20140722;000000;129.8300000
US1.BA;D;20140723;000000;126.7600000
US1.BA;D;20140724;000000;124.4000000
US1.BA;D;20140725;000000;123.2000000
US1.BA;D;20140728;000000;123.0500000
US1.BA;D;20140729;000000;122.3200000
US1.BA;D;20140730;000000;122.2800000
US1.BA;D;20140731;000000;120.4700000
US1.BA;D;20140801;000000;120.2800000
US1.BA;D;20140804;000000;119.9200000
US1.BA;D;20140805;000000;121.2200000
US1.BA;D;20140806;000000;118.3800000
US1.BA;D;20140807;000000;119.8500000
US1.BA;D;20140808;000000;120.6400000
US1.BA;D;20140811;000000;120.7900000
US1.BA;D;20140812;000000;120.4500000
US1.BA;D;20140813;000000;121.9800000
US1.BA;D;20140814;000000;124.1200000
US1.BA;D;20140815;000000;123.1700000
US1.BA;D;20140818;000000;124.9700000
US1.BA;D;20140819;000000;125.5750000
US1.BA;D;20140820;000000;127.3900000
US1.BA;D;20140821;000000;127.5000000
US1.BA;D;20140822;000000;127.4800000
US1.BA;D;20140825;000000;128.3500000
US1.BA;D;20140826;000000;128.6100000
US1.BA;D;20140827;000000;128.1700000
US1.BA;D;20140828;000000;127.0800000
US1.BA;D;20140829;000000;126.7600000
US1.BA;D;20140902;000000;125.5100000
US1.BA;D;20140903;000000;125.9200000
US1.BA;D;20140904;000000;125.3900000
US1.BA;D;20140905;000000;124.6900000
US1.BA;D;20140908;000000;127.9900000
US1.BA;D;20140909;000000;128.2100000
US1.BA;D;20140910;000000;128.2200000
US1.BA;D;20140911;000000;127.6200000
US1.BA;D;20140912;000000;126.9300000
US1.BA;D;20140915;000000;126.3200000
US1.BA;D;20140916;000000;127.3300000
US1.BA;D;20140917;000000;127.7750000
US1.BA;D;20140918;000000;128.5800000
US1.BA;D;20140919;000000;129.3400000
US1.BA;D;20140922;000000;128.6200000
US1.BA;D;20140923;000000;127.4200000
US1.BA;D;20140924;000000;128.7000000
US1.BA;D;20140925;000000;127.2100000
US1.BA;D;20140926;000000;128.7000000
US1.BA;D;20140929;000000;128.7600000
US1.BA;D;20140930;000000;127.4200000
US1.BA;D;20141001;000000;124.6400000
US1.BA;D;20141002;000000;124.1800000
US1.BA;D;20141003;000000;126.3500000
US1.BA;D;20141006;000000;126.2900000
US1.BA;D;20141007;000000;123.3200000
US1.BA;D;20141008;000000;124.9600000
US1.BA;D;20141009;000000;122.7900000
US1.BA;D;20141010;000000;121.5000000
US1.BA;D;20141013;000000;120.4000000
US1.BA;D;20141014;000000;122.2700000
US1.BA;D;20141015;000000;120.2100000
US1.BA;D;20141016;000000;120.2900000
US1.BA;D;20141017;000000;123.2400000
US1.BA;D;20141020;000000;124.3700000
US1.BA;D;20141021;000000;127.1200000
US1.BA;D;20141022;000000;121.5100000
US1.BA;D;20141023;000000;122.0200000
US1.BA;D;20141024;000000;122.2400000
US1.BA;D;20141027;000000;122.1200000
US1.BA;D;20141028;000000;123.6100000
US1.BA;D;20141029;000000;123.1000000
US1.BA;D;20141030;000000;123.8000000
US1.BA;D;20141031;000000;124.9200000
US1.BA;D;20141103;000000;126.0400000
US1.BA;D;20141104;000000;125.7900000
US1.BA;D;20141105;000000;124.2100000
US1.BA;D;20141106;000000;124.5300000
US1.BA;D;20141107;000000;124.4500000
US1.BA;D;20141110;000000;124.6400000
US1.BA;D;20141111;000000;125.3400000
US1.BA;D;20141112;000000;125.8900000
US1.BA;D;20141113;000000;128.4400000
US1.BA;D;20141114;000000;128.8800000
US1.BA;D;20141117;000000;128.4300000
US1.BA;D;20141118;000000;130.6800000
US1.BA;D;20141119;000000;131.5900000
US1.BA;D;20141120;000000;131.6950000
US1.BA;D;20141121;000000;132.7900000
US1.BA;D;20141124;000000;134.5600000
US1.BA;D;20141125;000000;134.8500000
US1.BA;D;20141126;000000;134.7900000
US1.BA;D;20141128;000000;134.3600000
US1.BA;D;20141201;000000;132.3400000
US1.BA;D;20141202;000000;132.2300000
US1.BA;D;20141203;000000;131.9000000
US1.BA;D;20141204;000000;131.2750000
US1.BA;D;20141205;000000;132.1900000
US1.BA;D;20141208;000000;130.3200000
US1.BA;D;20141209;000000;129.7000000
US1.BA;D;20141210;000000;124.6100000
US1.BA;D;20141211;000000;123.3700000
US1.BA;D;20141212;000000;120.9500000
US1.BA;D;20141215;000000;122.0700000
US1.BA;D;20141216;000000;124.2900000
US1.BA;D;20141217;000000;125.0600000
US1.BA;D;20141218;000000;125.6900000
US1.BA;D;20141219;000000;126.3000000
US1.BA;D;20141222;000000;128.2300000
US1.BA;D;20141223;000000;130.0500000
US1.BA;D;20141224;000000;131.2400000
US1.BA;D;20141226;000000;131.6300000
US1.BA;D;20141229;000000;132.2900000
US1.BA;D;20141230;000000;131.8500000
US1.BA;D;20141231;000000;129.9500000
US1.BA;D;20150102;000000;129.9600000
US1.BA;D;20150105;000000;129.0900000
US1.BA;D;20150106;000000;127.6900000
US1.BA;D;20150107;000000;129.4700000
US1.BA;D;20150108;000000;131.8300000
US1.BA;D;20150109;000000;131.5800000
US1.BA;D;20150112;000000;130.9100000
US1.BA;D;20150113;000000;131.1400000
US1.BA;D;20150114;000000;130.3450000
US1.BA;D;20150115;000000;130.1600000
US1.BA;D;20150116;000000;130.7900000
US1.BA;D;20150120;000000;131.2400000
US1.BA;D;20150121;000000;132.4100000
US1.BA;D;20150122;000000;135.6500000
US1.BA;D;20150123;000000;134.6400000
US1.BA;D;20150126;000000;134.0900000
US1.BA;D;20150127;000000;132.4500000
US1.BA;D;20150128;000000;139.9000000
US1.BA;D;20150129;000000;147.7600000
US1.BA;D;20150130;000000;145.4300000
US1.BA;D;20150202;000000;146.2800000
US1.BA;D;20150203;000000;147.3100000
US1.BA;D;20150204;000000;147.1800000
US1.BA;D;20150205;000000;148.6050000
US1.BA;D;20150206;000000;148.0000000
US1.BA;D;20150209;000000;147.5600000
US1.BA;D;20150210;000000;148.1300000
US1.BA;D;20150211;000000;147.8700000
US1.BA;D;20150212;000000;148.0400000
US1.BA;D;20150213;000000;149.7200000
US1.BA;D;20150217;000000;149.8000000
US1.BA;D;20150218;000000;151.2200000
US1.BA;D;20150219;000000;153.7900000
US1.BA;D;20150220;000000;158.3100000
US1.BA;D;20150223;000000;154.6800000
US1.BA;D;20150224;000000;154.4200000
US1.BA;D;20150225;000000;153.0200000
US1.BA;D;20150226;000000;151.7200000
US1.BA;D;20150227;000000;150.8700000
US1.BA;D;20150302;000000;153.7700000
US1.BA;D;20150303;000000;155.6000000
US1.BA;D;20150304;000000;154.4400000
US1.BA;D;20150305;000000;154.4700000
US1.BA;D;20150306;000000;153.1600000
US1.BA;D;20150309;000000;154.7400000
US1.BA;D;20150310;000000;152.5700000
US1.BA;D;20150311;000000;151.1800000
US1.BA;D;20150312;000000;152.0000000
US1.BA;D;20150313;000000;151.5700000
US1.BA;D;20150316;000000;153.6800000
US1.BA;D;20150317;000000;154.5400000
US1.BA;D;20150318;000000;155.7400000
US1.BA;D;20150319;000000;154.1000000
US1.BA;D;20150320;000000;154.5300000
US1.BA;D;20150323;000000;152.8700000
US1.BA;D;20150324;000000;151.6400000
US1.BA;D;20150325;000000;148.1800000
US1.BA;D;20150326;000000;148.1500000
US1.BA;D;20150327;000000;148.9000000
US1.BA;D;20150330;000000;152.6800000
US1.BA;D;20150331;000000;150.2200000
US1.BA;D;20150401;000000;148.6100000
US1.BA;D;20150402;000000;149.2600000
US1.BA;D;20150406;000000;150.9200000
US1.BA;D;20150407;000000;152.2700000
US1.BA;D;20150408;000000;153.3600000
US1.BA;D;20150409;000000;153.5600000
US1.BA;D;20150410;000000;154.3400000
US1.BA;D;20150413;000000;153.3800000
US1.BA;D;20150414;000000;153.2200000
US1.BA;D;20150415;000000;152.3900000
US1.BA;D;20150416;000000;152.0000000
US1.BA;D;20150417;000000;149.6000000
US1.BA;D;20150420;000000;152.6700000
US1.BA;D;20150421;000000;153.3500000
US1.BA;D;20150422;000000;151.2600000
US1.BA;D;20150423;000000;149.8700000
US1.BA;D;20150424;000000;148.3900000
US1.BA;D;20150427;000000;147.9200000
US1.BA;D;20150428;000000;147.5000000
US1.BA;D;20150429;000000;146.1400000
US1.BA;D;20150430;000000;143.2700000
US1.BA;D;20150501;000000;144.6500000
US1.BA;D;20150504;000000;144.0700000
US1.BA;D;20150505;000000;143.0200000
US1.BA;D;20150506;000000;141.0000000
US1.BA;D;20150507;000000;141.4200000
US1.BA;D;20150508;000000;145.4900000
US1.BA;D;20150511;000000;145.8500000
US1.BA;D;20150512;000000;145.4900000
US1.BA;D;20150513;000000;145.6300000
US1.BA;D;20150514;000000;147.9800000
US1.BA;D;20150515;000000;146.8900000
US1.BA;D;20150518;000000;146.6400000
US1.BA;D;20150519;000000;147.0400000
US1.BA;D;20150520;000000;146.4300000
US1.BA;D;20150521;000000;147.3700000
US1.BA;D;20150522;000000;144.8300000
US1.BA;D;20150526;000000;142.8000000
US1.BA;D;20150527;000000;143.0600000
US1.BA;D;20150528;000000;142.3000000
US1.BA;D;20150529;000000;140.7000000
US1.BA;D;20150601;000000;141.2800000
US1.BA;D;20150602;000000;143.3000000
US1.BA;D;20150603;000000;143.8100000
US1.BA;D;20150604;000000;141.1700000
US1.BA;D;20150605;000000;140.7100000
US1.BA;D;20150608;000000;140.6500000
US1.BA;D;20150609;000000;140.1000000
US1.BA;D;20150610;000000;141.6200000
US1.BA;D;20150611;000000;142.9400000
US1.BA;D;20150612;000000;142.8000000
US1.BA;D;20150615;000000;142.3000000
US1.BA;D;20150616;000000;142.3200000
US1.BA;D;20150617;000000;143.5000000
US1.BA;D;20150618;000000;145.3900000
US1.BA;D;20150619;000000;145.2800000
US1.BA;D;20150622;000000;145.6800000
US1.BA;D;20150623;000000;144.4600000
US1.BA;D;20150624;000000;142.9900000
US1.BA;D;20150625;000000;142.4500000
US1.BA;D;20150626;000000;142.5700000
US1.BA;D;20150629;000000;138.6900000
US1.BA;D;20150630;000000;139.0400000
US1.BA;D;20150701;000000;140.7550000
US1.BA;D;20150702;000000;140.2400000
US1.BA;D;20150706;000000;140.4400000
US1.BA;D;20150707;000000;143.3600000
US1.BA;D;20150708;000000;141.9500000
US1.BA;D;20150709;000000;142.8200000
US1.BA;D;20150710;000000;144.5000000
US1.BA;D;20150713;000000;146.5800000
US1.BA;D;20150714;000000;147.8500000
US1.BA;D;20150715;000000;146.9300000
US1.BA;D;20150716;000000;148.5000000
US1.BA;D;20150717;000000;146.8900000
US1.BA;D;20150720;000000;146.6300000
US1.BA;D;20150721;000000;145.1000000
US1.BA;D;20150722;000000;146.4600000
US1.BA;D;20150723;000000;146.1400000
US1.BA;D;20150724;000000;144.0000000
US1.BA;D;20150727;000000;141.0100000
US1.BA;D;20150728;000000;141.7300000
US1.BA;D;20150729;000000;144.1500000
US1.BA;D;20150730;000000;143.0500000
US1.BA;D;20150731;000000;144.1800000
US1.BA;D;20150803;000000;143.6100000
US1.BA;D;20150804;000000;143.6200000
US1.BA;D;20150805;000000;144.9500000
US1.BA;D;20150806;000000;143.8500000
US1.BA;D;20150807;000000;142.4200000
US1.BA;D;20150810;000000;145.8150000
US1.BA;D;20150811;000000;144.0700000
US1.BA;D;20150812;000000;142.3200000
US1.BA;D;20150813;000000;144.8300000
US1.BA;D;20150814;000000;145.0900000
US1.BA;D;20150817;000000;144.5100000
US1.BA;D;20150818;000000;144.6100000
US1.BA;D;20150819;000000;142.8100000
US1.BA;D;20150820;000000;137.0600000
US1.BA;D;20150821;000000;132.6800000
US1.BA;D;20150824;000000;128.6200000
US1.BA;D;20150826;000000;129.3100000
US1.BA;D;20150827;000000;131.8200000
US1.BA;D;20150828;000000;133.2200000
US1.BA;D;20150831;000000;130.6900000
US1.BA;D;20150901;000000;127.2800000
US1.BA;D;20150902;000000;130.5700000
US1.BA;D;20150903;000000;131.1000000
US1.BA;D;20150904;000000;129.8200000
US1.BA;D;20150908;000000;133.9300000
US1.BA;D;20150909;000000;132.6300000
US1.BA;D;20150910;000000;133.5000000
US1.BA;D;20150911;000000;134.6500000
US1.BA;D;20150914;000000;134.3700000
US1.BA;D;20150915;000000;136.3900000
US1.BA;D;20150916;000000;137.1700000
US1.BA;D;20150917;000000;137.8200000
US1.BA;D;20150918;000000;136.1200000
US1.BA;D;20150921;000000;135.9800000
US1.BA;D;20150922;000000;133.9800000
US1.BA;D;20150923;000000;131.6500000
US1.BA;D;20150924;000000;129.8700000
US1.BA;D;20150925;000000;130.9900000
US1.BA;D;20150928;000000;128.4600000
US1.BA;D;20150929;000000;128.8700000
US1.BA;D;20150930;000000;130.9700000
US1.BA;D;20151001;000000;130.6000000
US1.BA;D;20151002;000000;132.5400000
US1.BA;D;20151012;000000;140.7100000
US1.BA;D;20151013;000000;140.2800000
US1.BA;D;20151014;000000;134.2300000
US1.BA;D;20151015;000000;137.4900000
US1.BA;D;20151016;000000;137.5500000
US1.BA;D;20151019;000000;138.4300000
US1.BA;D;20151020;000000;139.0200000
US1.BA;D;20151021;000000;140.9200000
US1.BA;D;20151022;000000;146.4000000
US1.BA;D;20151023;000000;146.8000000
US1.BA;D;20151026;000000;146.7200000
US1.BA;D;20151027;000000;148.4600000
US1.BA;D;20151028;000000;147.8800000
US1.BA;D;20151029;000000;147.1600000
US1.BA;D;20151030;000000;148.1500000
US1.BA;D;20151102;000000;148.3500000
US1.BA;D;20151103;000000;148.0800000
US1.BA;D;20151104;000000;148.2300000
US1.BA;D;20151105;000000;147.9900000
US1.BA;D;20151106;000000;147.6700000
US1.BA;D;20151109;000000;146.0700000
US1.BA;D;20151110;000000;144.9700000
US1.BA;D;20151111;000000;145.0300000
US1.BA;D;20151112;000000;142.5400000
US1.BA;D;20151113;000000;142.6300000
US1.BA;D;20151116;000000;144.4200000
US1.BA;D;20151117;000000;146.2000000
US1.BA;D;20151118;000000;148.2800000
US1.BA;D;20151119;000000;149.2600000
US1.BA;D;20151120;000000;149.3700000
US1.BA;D;20151123;000000;148.3400000
US1.BA;D;20151124;000000;148.6900000
US1.BA;D;20151125;000000;147.4400000
US1.BA;D;20151127;000000;147.0000000
US1.BA;D;20151130;000000;145.6400000
US1.BA;D;20151201;000000;147.8400000
US1.BA;D;20151202;000000;146.9850000
US1.BA;D;20151203;000000;145.3900000
US1.BA;D;20151204;000000;148.5100000
US1.BA;D;20151207;000000;148.5100000
US1.BA;D;20151208;000000;145.0500000
US1.BA;D;20151209;000000;143.9600000
US1.BA;D;20151210;000000;146.5200000
US1.BA;D;20151211;000000;144.3900000
US1.BA;D;20151214;000000;143.1200000
US1.BA;D;20151215;000000;146.5800000
US1.BA;D;20151216;000000;148.1100000
US1.BA;D;20151217;000000;145.7600000
US1.BA;D;20151218;000000;139.4800000
US1.BA;D;20151221;000000;140.8900000
US1.BA;D;20151222;000000;142.4100000
US1.BA;D;20151223;000000;144.0400000
US1.BA;D;20151224;000000;143.6200000
US1.BA;D;20151228;000000;144.5300000
US1.BA;D;20151229;000000;147.3700000
US1.BA;D;20151230;000000;146.4100000
US1.BA;D;20151231;000000;144.7300000
US1.BA;D;20160104;000000;140.4950000
US1.BA;D;20160105;000000;141.0300000
US1.BA;D;20160106;000000;138.8100000
US1.BA;D;20160107;000000;132.9700000
US1.BA;D;20160108;000000;130.1600000
US1.BA;D;20160111;000000;130.1100000
US1.BA;D;20160112;000000;131.9200000
US1.BA;D;20160113;000000;128.1000000
US1.BA;D;20160114;000000;129.1600000
US1.BA;D;20160115;000000;125.5900000
US1.BA;D;20160119;000000;126.0500000
US1.BA;D;20160120;000000;122.1600000
US1.BA;D;20160121;000000;123.3900000
US1.BA;D;20160122;000000;124.6000000
US1.BA;D;20160125;000000;124.0300000
US1.BA;D;20160126;000000;128.0300000
US1.BA;D;20160127;000000;116.5700000
US1.BA;D;20160128;000000;118.0100000
US1.BA;D;20160129;000000;120.1400000
US1.BA;D;20160201;000000;121.5500000
US1.BA;D;20160202;000000;117.5300000
US1.BA;D;20160203;000000;121.8100000
US1.BA;D;20160205;000000;122.4700000
US1.BA;D;20160208;000000;119.5000000
US1.BA;D;20160209;000000;118.7200000
US1.BA;D;20160210;000000;116.3700000
US1.BA;D;20160211;000000;108.4200000
US1.BA;D;20160212;000000;108.6600000
US1.BA;D;20160216;000000;112.7100000
US1.BA;D;20160217;000000;116.3700000
US1.BA;D;20160218;000000;117.5000000
US1.BA;D;20160219;000000;115.2600000
US1.BA;D;20160222;000000;117.3800000
US1.BA;D;20160223;000000;116.8900000
US1.BA;D;20160224;000000;115.4600000
US1.BA;D;20160225;000000;116.7900000
US1.BA;D;20160226;000000;118.1200000
US1.BA;D;20160229;000000;118.1500000
US1.BA;D;20160301;000000;119.9400000
US1.BA;D;20160302;000000;119.6800000
US1.BA;D;20160303;000000;119.5300000
US1.BA;D;20160304;000000;121.0700000
US1.BA;D;20160307;000000;122.8200000
US1.BA;D;20160308;000000;122.3000000
US1.BA;D;20160309;000000;122.8400000
US1.BA;D;20160310;000000;122.8600000
US1.BA;D;20160311;000000;124.6000000
US1.BA;D;20160314;000000;126.3800000
US1.BA;D;20160315;000000;126.3400000
US1.BA;D;20160316;000000;127.5000000
US1.BA;D;20160317;000000;130.6900000
US1.BA;D;20160318;000000;134.0300000
US1.BA;D;20160322;000000;135.1200000
US1.BA;D;20160323;000000;132.9600000
US1.BA;D;20160324;000000;132.0600000
US1.BA;D;20160328;000000;131.3100000
US1.BA;D;20160329;000000;130.8700000
US1.BA;D;20160330;000000;128.5700000
US1.BA;D;20160331;000000;127.0100000
US1.BA;D;20160401;000000;126.9800000
US1.BA;D;20160404;000000;126.2900000
US1.BA;D;20160405;000000;127.0200000
US1.BA;D;20160406;000000;127.8600000
US1.BA;D;20160407;000000;127.0200000
US1.BA;D;20160408;000000;127.8600000
US1.BA;D;20160411;000000;127.9000000
US1.BA;D;20160412;000000;129.4600000
US1.BA;D;20160413;000000;131.1500000
US1.BA;D;20160414;000000;130.8400000
US1.BA;D;20160415;000000;131.1000000
US1.BA;D;20160418;000000;131.9800000
US1.BA;D;20160419;000000;132.6800000
US1.BA;D;20160420;000000;130.6000000
US1.BA;D;20160421;000000;130.7800000
US1.BA;D;20160422;000000;131.0700000
US1.BA;D;20160425;000000;130.7600000
US1.BA;D;20160426;000000;133.2000000
US1.BA;D;20160427;000000;137.0600000
US1.BA;D;20160428;000000;134.7900000
US1.BA;D;20160429;000000;134.8500000
US1.BA;D;20160502;000000;134.0200000
US1.BA;D;20160503;000000;132.5100000
US1.BA;D;20160504;000000;130.9000000
US1.BA;D;20160505;000000;132.0900000
US1.BA;D;20160506;000000;133.2600000
US1.BA;D;20160509;000000;132.1300000
US1.BA;D;20160510;000000;134.7300000
US1.BA;D;20160511;000000;133.0600000
US1.BA;D;20160512;000000;134.4400000
US1.BA;D;20160513;000000;132.0850000
US1.BA;D;20160516;000000;134.1500000
US1.BA;D;20160517;000000;132.5300000
US1.BA;D;20160518;000000;131.0300000
US1.BA;D;20160519;000000;128.0900000
US1.BA;D;20160520;000000;127.3800000
US1.BA;D;20160523;000000;127.5600000
US1.BA;D;20160524;000000;127.5000000
US1.BA;D;20160525;000000;128.8500000
US1.BA;D;20160526;000000;129.2800000
US1.BA;D;20160527;000000;129.2100000
US1.BA;D;20160531;000000;126.1500000
US1.BA;D;20160601;000000;126.3600000
US1.BA;D;20160602;000000;126.8400000
US1.BA;D;20160603;000000;127.3900000
US1.BA;D;20160606;000000;131.9400000
US1.BA;D;20160607;000000;131.9500000
US1.BA;D;20160608;000000;133.0100000
US1.BA;D;20160609;000000;133.1100000
US1.BA;D;20160610;000000;131.1100000
US1.BA;D;20160613;000000;129.8800000
US1.BA;D;20160614;000000;130.5000000
US1.BA;D;20160615;000000;130.1600000
US1.BA;D;20160616;000000;129.3500000
US1.BA;D;20160617;000000;129.8000000
US1.BA;D;20160620;000000;132.8500000
US1.BA;D;20160621;000000;131.5300000
US1.BA;D;20160622;000000;131.7900000
US1.BA;D;20160623;000000;133.5300000
US1.BA;D;20160624;000000;126.5200000
US1.BA;D;20160627;000000;122.6300000
US1.BA;D;20160628;000000;123.9000000
US1.BA;D;20160629;000000;126.9500000
US1.BA;D;20160630;000000;129.8300000
US1.BA;D;20160701;000000;129.7000000
US1.BA;D;20160705;000000;126.9700000
US1.BA;D;20160706;000000;126.9450000
US1.BA;D;20160707;000000;127.1300000
US1.BA;D;20160708;000000;130.0500000
US1.BA;D;20160711;000000;132.0100000
US1.BA;D;20160712;000000;130.8000000
US1.BA;D;20160713;000000;130.0900000
US1.BA;D;20160714;000000;131.5800000
US1.BA;D;20160715;000000;132.3800000
US1.BA;D;20160718;000000;133.3800000
US1.BA;D;20160719;000000;134.6600000
US1.BA;D;20160720;000000;134.7500000
US1.BA;D;20160721;000000;133.5800000
US1.BA;D;20160722;000000;133.4600000
US1.BA;D;20160725;000000;132.8900000
US1.BA;D;20160726;000000;134.9000000
US1.BA;D;20160727;000000;135.9300000
US1.BA;D;20160728;000000;133.0500000
